講義コード,講義名,講義名（英語）,科目種別コード,科目コード,科目名,分野系列コード,分野系列名,単位数,講義期間コード,講義期間,履修年度,開講所属コード,開講所属
25532369,Japanese: Speaking 7A,Japanese: Speaking 7A,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532370,Japanese: Speaking 7B,Japanese: Speaking 7B,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532371,Japanese: Speaking 8A,Japanese: Speaking 8A,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532372,Japanese: Speaking 8B,Japanese: Speaking 8B,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532380,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2025,001,基幹教育科目
25532381,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2025,001,基幹教育科目
25532382,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2025,001,基幹教育科目
25532401,基幹教育セミナー,KIKAN Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2025,001,基幹教育科目
25532402,基幹教育セミナー,KIKAN Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2025,001,基幹教育科目
25532441,日本国憲法,The Constitution of Japan,,,,015800,高年次基幹教育科目,2,10,前期,2025,001,基幹教育科目
25532442,Japanese Economy in Transition,Japanese Economy in Transition,,,,015720,オープン科目,2,10,前期,2025,001,基幹教育科目
25532444,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2025,001,基幹教育科目
25532445,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2025,001,基幹教育科目
25532446,学術英語・上級,Academic English: Advanced,,,,015301,言語文化基礎科目,2,10,前期,2025,001,基幹教育科目
25532447,フランス語プラティクⅡ,French Practice II,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532448,中国語実践Ⅱ,Chinese Practice Ⅱ,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532449,ロシア語Ⅲ,Russian Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532450,韓国語Ⅲ,Korean Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532451,スペイン語Ⅲ,Spanish Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2025,001,基幹教育科目
25532480,健康・スポーツ科学演習（アダプテッドコース）,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2025,001,基幹教育科目
25532501,先史学入門,Introduction to Prehistory,,,,015400,文系ディシプリン科目,2,20,後期,2025,001,基幹教育科目
25532502,文化人類学入門,Introduction to Anthropology,,,,015400,文系ディシプリン科目,2,20,後期,2025,001,基幹教育科目
25532503,教育基礎学入門,Introdution to Fundamentals of Educational Studies,,,,015400,文系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25532504,現代教育学入門,Introdution to Contemporary Education,,,,015400,文系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25532515,社会と数理科学,Mathematics in the Real World,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25532516,身の回りの物理学Ａ,Physics in Daily Life A,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25532517,身の回りの物理学Ｂ,Physics in Daily Life B,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25532518,基礎化学熱力学Ⅰ,Elementary Chemical thermodynamics Ⅰ,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
25532519,基礎化学熱力学Ⅱ,Elementary Chemical thermodynamics Ⅱ,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25532520,集団生物学,Basic Population Biology,,,,015500,理系ディシプリン科目,2,20,後期,2025,001,基幹教育科目
25532521,デザインアプローチ,Design Approach,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25532522,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,24,冬学期,2025,001,基幹教育科目
25532523,自然科学総合実験,Natural Science Experiments,,,,015500,理系ディシプリン科目,1,23,秋学期,2025,001,基幹教育科目
